,embedding_dim,epochs,lr,model,num_negs_per_pos,hits@1,hits@3,hits@10,mean_reciprocal_rank
175,240,100,0.05,rgcn,100,0.02364864864864865,0.07094594594594594,0.19031531531531531,0.0792304053902626
176,384,500,0.001,rgcn,50,0.12387387387387387,0.24436936936936937,0.3997747747747748,0.21770924329757693
177,512,100,0.001,distmult,70,0.15878378378378377,0.3153153153153153,0.43018018018018017,0.25441858172416687
178,304,200,0.02,rgcn,60,0.05630630630630631,0.18130630630630631,0.29842342342342343,0.14292946457862854
179,176,300,0.05,transe,70,0.0777027027027027,0.11261261261261261,0.14977477477477477,0.10527648031711578
180,128,100,0.002,rgcn,100,0.10923423423423423,0.19031531531531531,0.32882882882882886,0.18295305967330933
181,464,100,0.01,transe,90,0.015765765765765764,0.10585585585585586,0.18355855855855857,0.07831092178821564
182,64,200,0.05,rgcn,10,0.0686936936936937,0.13626126126126126,0.18243243243243243,0.11555358022451402
183,240,200,0.1,distmult,1,0.016891891891891893,0.05518018018018018,0.12950450450450451,0.05663375183939933
184,384,500,0.02,rgcn,40,0.041666666666666664,0.13513513513513514,0.3119369369369369,0.12376663088798524
185,480,200,0.01,complex,20,0.0011261261261261261,0.00563063063063063,0.007882882882882882,0.005698952358216048
186,384,100,0.005,rgcn,1,0.08783783783783784,0.12837837837837837,0.1891891891891892,0.12498388439416885
187,80,500,0.002,distmult,1,0.18130630630630631,0.3141891891891892,0.44144144144144143,0.27296003699302673
188,176,100,0.001,rgcn,60,0.10135135135135136,0.17567567567567569,0.29504504504504503,0.1709173321723938
189,384,500,0.005,distmult,40,0.15765765765765766,0.29954954954954954,0.44594594594594594,0.2551408112049103
190,336,100,0.002,rgcn,50,0.10585585585585586,0.20945945945945946,0.3547297297297297,0.1911664754152298
191,320,100,0.02,complex,60,0.0,0.0011261261261261261,0.006756756756756757,0.004192880820482969
192,496,300,0.05,transe,100,0.00563063063063063,0.007882882882882882,0.13851351351351351,0.03504316508769989
193,192,300,0.1,distmult,20,0.08445945945945946,0.16554054054054054,0.27702702702702703,0.15314966440200806
194,16,100,0.05,transe,50,0.09234234234234234,0.13626126126126126,0.24549549549549549,0.14615239202976227
195,240,200,0.1,complex,80,0.019144144144144143,0.04504504504504504,0.07882882882882883,0.04451201111078262
196,272,100,0.002,transe,10,0.0,0.12950450450450451,0.17117117117117117,0.0749729722738266
197,32,100,0.001,rgcn,90,0.1036036036036036,0.13963963963963963,0.1891891891891892,0.14177604019641876
198,112,100,0.002,distmult,20,0.20382882882882883,0.30405405405405406,0.4177927927927928,0.27842849493026733
199,512,500,0.005,transe,50,0.06531531531531531,0.10585585585585586,0.16216216216216217,0.10266797989606857
200,288,100,0.01,distmult,60,0.14076576576576577,0.25,0.38738738738738737,0.22313326597213745
201,144,400,0.005,rgcn,100,0.0777027027027027,0.21396396396396397,0.3795045045045045,0.1794794797897339
202,464,500,0.1,complex,1,0.016891891891891893,0.04054054054054054,0.09234234234234234,0.04483960568904877
203,32,200,0.005,transe,80,0.041666666666666664,0.07995495495495496,0.15090090090090091,0.0807802677154541
204,128,200,0.05,transe,70,0.0045045045045045045,0.09797297297297297,0.14301801801801803,0.06264430284500122
205,448,500,0.005,rgcn,1,0.05630630630630631,0.11373873873873874,0.21734234234234234,0.11095087975263596
206,512,400,0.02,transe,60,0.01463963963963964,0.08896396396396396,0.15315315315315314,0.07204968482255936
207,288,500,0.1,distmult,50,0.0472972972972973,0.13513513513513514,0.24549549549549549,0.11774220317602158
208,64,300,0.005,transe,30,0.04279279279279279,0.11261261261261261,0.19594594594594594,0.0971895158290863
209,288,500,0.005,complex,10,0.0011261261261261261,0.007882882882882882,0.01463963963963964,0.008123800158500671
210,480,400,0.1,rgcn,10,0.01463963963963964,0.039414414414414414,0.09009009009009009,0.04415282607078552
211,192,400,0.1,transe,90,0.038288288288288286,0.11148648648648649,0.13288288288288289,0.08406516909599304
212,336,300,0.002,rgcn,80,0.06418918918918919,0.20495495495495494,0.40765765765765766,0.1726727932691574
213,416,300,0.001,complex,90,0.0033783783783783786,0.007882882882882882,0.012387387387387387,0.00887440424412489
214,480,200,0.02,rgcn,100,0.05292792792792793,0.12950450450450451,0.24436936936936937,0.12093640863895416
215,368,500,0.05,rgcn,1,0.04279279279279279,0.06306306306306306,0.10472972972972973,0.06635438650846481
216,496,400,0.005,rgcn,30,0.05292792792792793,0.14752252252252251,0.2759009009009009,0.1300082951784134
217,384,400,0.002,transe,80,0.037162162162162164,0.14977477477477477,0.19031531531531531,0.1036001071333885
218,128,300,0.05,complex,40,0.0033783783783783786,0.013513513513513514,0.04504504504504504,0.020817125216126442
219,368,200,0.1,complex,60,0.010135135135135136,0.03153153153153153,0.061936936936936936,0.03235916048288345
220,368,400,0.005,rgcn,10,0.05630630630630631,0.13626126126126126,0.24887387387387389,0.12501929700374603
221,208,400,0.005,complex,20,0.0011261261261261261,0.0045045045045045045,0.01126126126126126,0.006605537142604589
222,192,200,0.01,distmult,30,0.11036036036036036,0.24211711711711711,0.38063063063063063,0.20321345329284668
223,64,400,0.005,complex,70,0.0011261261261261261,0.0022522522522522522,0.009009009009009009,0.007159400731325149
224,160,400,0.002,distmult,40,0.14864864864864866,0.27815315315315314,0.40540540540540543,0.2384655773639679
225,48,400,0.002,complex,60,0.0,0.0011261261261261261,0.013513513513513514,0.006925026886165142
226,352,100,0.1,distmult,90,0.09572072072072071,0.17905405405405406,0.31981981981981983,0.1679176688194275
227,272,100,0.005,rgcn,10,0.0259009009009009,0.10135135135135136,0.20495495495495494,0.0900762602686882
228,16,400,0.05,complex,30,0.04842342342342342,0.12837837837837837,0.26463963963963966,0.11750249564647673
229,320,300,0.002,distmult,80,0.14301801801801803,0.27702702702702703,0.40315315315315314,0.23534324765205386
230,416,400,0.05,rgcn,100,0.04391891891891892,0.12274774774774774,0.20495495495495494,0.1030721664428711
231,288,300,0.02,distmult,80,0.04954954954954955,0.20945945945945946,0.38626126126126126,0.16362690925598145
232,208,300,0.001,distmult,50,0.19594594594594594,0.34797297297297297,0.46621621621621623,0.29482465982437134
233,464,500,0.1,complex,70,0.02027027027027027,0.05405405405405406,0.13513513513513514,0.05601133406162262
234,224,400,0.001,rgcn,40,0.10923423423423423,0.22747747747747749,0.3918918918918919,0.20426680147647858
235,288,200,0.02,complex,100,0.0011261261261261261,0.006756756756756757,0.01463963963963964,0.0073964125476777545
236,240,500,0.005,distmult,50,0.0686936936936937,0.21734234234234234,0.3975225225225225,0.1764506846666336
237,208,500,0.005,rgcn,30,0.0731981981981982,0.17792792792792791,0.34121621621621623,0.15962858498096466
238,192,400,0.002,complex,60,0.0,0.0022522522522522522,0.0045045045045045045,0.004345491994172335
239,240,300,0.02,distmult,20,0.10923423423423423,0.19144144144144143,0.3400900900900901,0.18228885531425476
